Name,GREScore,TOEFLScore,UniversityRating,SOP,LOR,CGPA,Research,Admitted
Hezekiah Moyer,322,112,3,3,4,8.62,1,0
Makai Harvey,302,110,3,4,4.5,8.5,0,0
Kelsie Pena,307,105,2,2.5,4.5,8.12,1,0
Maribel Collins,297,99,4,3,3.5,7.81,0,0
Sergio Baxter,298,101,4,2.5,4.5,7.69,1,0
Ansley Duffy,300,95,2,3,1.5,8.22,1,0
Leonel Figueroa,301,99,3,2.5,2,8.45,1,0
Reid Coleman,332,108,5,4.5,4,9.02,1,0
Immanuel Holden,337,117,5,5,5,9.87,1,1
Kaiya Randall,330,120,5,4.5,5,9.56,1,1
Dominique Landry,312,103,4,4,5,8.43,0,0
Ace Barrera,327,113,4,4.5,4.5,9.04,0,0
